Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount
2023-09-12,2023-11-29,78,13,2023-6554,40333.24,40333.24
2022-12-28,2023-01-24,27,13,2022-6203,15209.82,15209.82
2022-06-30,2022-08-31,62,13,2022-5935,14431.94,13744.7
2023-11-09,2024-03-29,141,13,2023-6623,14431.94,13744.7
2023-12-13,2024-03-29,107,13,2023-6675,14431.94,13744.7
2022-12-28,2023-03-03,65,13,2022-6202,15252.87,14494.33
2022-12-28,2023-03-06,68,13,2022-6202,15252.87,32.21
2023-07-19,2023-10-03,76,13,2023-6469,22088.32,21036.5
2019-11-28,2020-02-25,89,13,2019-4968,26416.38,26416.38
2024-01-23,2024-03-29,66,13,2024-6710,12932.54,12154.86
2023-01-24,2023-04-06,72,13,2023-6245,10443.58,9946.27
2019-10-31,2023-10-31,1461,13,2019-4959,15402.43,15402.43
2023-04-06,2023-09-05,152,13,2023-6352,20776.79,19787.42
2023-09-12,2023-11-29,78,13,2023-6553,10965.16,10443.01
2019-10-23,2020-01-06,75,13,2019-4935,7162.06,7162.06
2019-08-29,2019-10-23,55,14,2019-4863,437752.27,437752.27
2019-08-29,2019-10-23,55,14,2019-4863,437752.27,437752.27
2019-08-29,2019-10-23,55,14,2019-4863,227984.28,227984.28
2019-08-29,2019-10-23,55,14,2019-4863,227984.28,227984.28
2019-08-29,2019-10-23,55,14,2019-4863,251790.87,251790.87
2019-08-29,2019-10-23,55,14,2019-4863,251790.87,251790.87
2017-12-31,2018-02-01,32,14,2017/4072,59922.56,59922.56
2017-12-31,2018-02-01,32,14,2017/4072,59922.56,59922.56
2017-11-29,2018-02-01,64,14,2017/4035,41670.12,41670.12
2017-05-30,2017-06-15,16,14,2017/3715,27885.61,27885.61
2017-08-30,2017-11-02,64,14,2017/3891,27885.61,27885.61
2019-08-29,2019-10-23,55,14,2019-4863,7162.06,7162.06
2019-08-29,2019-10-23,55,14,2019-4863,7162.06,7162.06
2015-11-30,2015-12-20,20,15,2015/2744,491201.44,491201.44
2016-03-30,2016-04-25,26,15,2016/2996,491201.44,491201.44
2016-04-28,2016-10-23,178,15,2016/3041,491201.44,491201.44
2015-12-31,2016-01-14,14,15,2015/2816,767679.57,767679.57
2016-01-31,2016-02-11,11,15,2016/2872,767679.57,767679.57
2018-11-05,2019-01-03,59,15,2018/4491Rev1,375151.03,375151.03
2016-06-30,2016-12-20,173,15,2016/3139,318636.94,318636.94
2015-11-30,2015-12-20,20,15,2015/2744,361590.59,361590.59
2016-03-30,2016-04-25,26,15,2016/2996,361590.59,361590.59
2016-04-28,2016-10-23,178,15,2016/3041,361590.59,115897.5
2016-04-28,2016-12-20,236,15,2016/3041,361590.59,245693.08
2018-12-30,2019-03-07,67,15,2018/4546,349357.19,349357.19
2019-03-07,2019-04-10,34,15,2019-4658,349357.19,349357.19
2015-11-30,2015-12-20,20,15,2015/2744,281482.58,281482.58
2016-03-30,2016-04-25,26,15,2016/2996,281482.58,281482.58
2016-04-28,2016-10-23,178,15,2016/3041,281482.58,281482.58
